unix,low,high,open,close,BTC-USD volume
1634947200,60358,61062.31,60682.88,61028.72,332.6513173
1634860800,60000,63750,62204.01,60687.64,17217.70765
1634774400,62050,66650.85,66021.26,62204.02,23474.39133
1634688000,63525,66999,64303.14,66026.54,19194.45411
1634601600,61333,64500,62042.4,64303.14,17380.30486
1634515200,59887.74,62675.19,61530.07,62042.41,19798.1489
1634428800,58943.83,61744.17,60867.05,61527.11,9153.322735
1634342400,60139.01,62350,61690.32,60877.42,10161.2582
1634256000,56867.11,62910,57359.51,61695.39,27105.19764
1634169600,56832.32,58520.71,57367.32,57359.51,12198.02458
1634083200,54236.09,57771.33,56005.1,57367.32,14691.01339
1633996800,53873.78,57674.55,57485.97,56005.1,15457.00896
1633910400,54411.54,57833.23,54683.09,57487.44,13422.42082
1633824000,54112.95,56545.24,54963.29,54690.53,9370.191238
1633737600,53675,55500,53965.18,54962.29,7123.055124
1633651200,53634.41,56113,53805.46,53963.82,12416.90199
1633564800,53379,55356.85,55346.95,53797.82,15820.83418
1633478400,50416.01,55757.11,51499.77,55339.48,25869.64926
1633392000,49057.18,51906.23,49244.13,51493.99,17828.59727
1633305600,46916.7,49505,48233.99,49245.54,13938.64183
1633219200,47120.11,49300,47663.74,48233.99,7989.259259
1633132800,47451,48359.33,48165.76,47657.69,7262.634421
1633046400,43287.44,48500,43828.89,48165.76,20095.33156
1632960000,41409.67,44110.17,41519.11,43824.43,12835.98381
1632873600,40750.12,42638.99,41030.19,41522.16,10303.30152
1632787200,40897.7,42780,42166.31,41026.07,10491.81363
1632700800,42111,44366.96,43172.17,42171.76,10094.771
1632614400,40803,43937,42705.51,43178.02,9971.645452
1632528000,41675,42998.76,42848.44,42705.51,7383.323903
1632441600,40683.29,45200,44896.55,42848.92,22451.57711
1632355200,43096.73,45000,43575.19,44897.59,13446.87469
1632268800,40570.42,44035.44,40736.81,43575.1,19462.53865
1632182400,39600,43639.88,43007.69,40719.6,27275.33818
1632096000,42500,47358.92,47253.71,43012.97,27706.67636
1632009600,46850.87,48379.19,48309.86,47255.92,7086.346262
1631923200,47050,48825.62,47306.87,48314.56,7491.034492
1631836800,46752.67,48176.64,47753.15,47303.5,9088.569565
1631750400,47020.82,48499.99,48144.03,47753.16,11739.27967
1631664000,46705,48475,47127.81,48148.12,12139.84207
1631577600,44679.92,47274.92,44953.23,47127.22,12644.16435
1631491200,43465,46900,46027.8,44947.72,15015.3029
1631404800,44754.31,46462.98,45173.66,46024.23,6499.858217
1631318400,44730.29,45989.94,44850.37,45171.83,6207.38337
1631232000,44140.48,47040.76,46396.26,44851.45,14905.54795
1631145600,45511.82,47400,46059.94,46400,13594.64633
1631059200,44423.49,47381.47,46894.49,46060.36,19624.55093
1630972800,42830.77,52944.96,52698.8,46894.5,29022.81535
1630886400,51020.08,52802.03,51789.17,52698.81,9571.754711
1630800000,49500,51907.08,49944.89,51789.17,7743.934723
1630713600,49400,50558.75,50025,49942.98,7595.488165
1630627200,48349.66,51064.44,49279.38,50025,14577.22622
1630540800,48620.73,50392.19,48834.27,49279.37,14120.38264
1630454400,46537.62,49125,47110.33,48839.86,13010.83839
1630368000,46708.93,48259.68,46996.8,47112.5,12919.4397
1630281600,46866,48906.51,48802.58,46993.71,12249.23741
1630195200,47801,49667.1,48942.89,48802.58,6935.09511
1630108800,48370,49309.83,49081.08,48942.94,4895.701913
1630022400,46361.01,49185.12,46851.47,49077.57,8924.122477
1629936000,46315.48,49365.1,48991.57,46851.47,11651.34374
1629849600,47122.02,49277,47682.45,48987.33,9289.231771
1629763200,47600,49875.9,49504.53,47682.45,12068.33823
1629676800,49012.84,50505,49284.38,49506.5,10824.26838
1629590400,48102.89,49526.13,48870.21,49284.63,6243.396434
1629504000,48285.28,49821.92,49349.99,48867.02,9574.836152
1629417600,46644.95,49400,46769.02,49342.4,13184.67049
1629331200,43955,47088.08,44709.1,46765.87,11938.12185
1629244800,44216.47,46035.27,44675.34,44707.98,10327.49887
1629158400,44405.39,47174.62,45903.22,44671.58,12756.14778
1629072000,45676.91,48076.52,47014.38,45902.46,10467.66031
